url;class;https;meta_count;url_length;google_verified;domain;url_numbers;special_chars;ip_location;trustpilot_review;instagram;facebook;twitter;pinterest;
https://abcglasses.com;authorized;1;16;10;0;0;0;0;1;0.0;1;1;0;0;
https://buckmans.com;authorized;1;12;8;0;0;0;0;2;0.0;1;1;1;1;
https://designeroptics.com;authorized;1;23;14;1;0;0;0;1;4.3;0;0;0;0;
https://ebasesloaded.com;authorized;1;6;12;2;0;0;0;2;0.0;1;1;1;1;
https://eyezz.com;authorized;1;15;5;1;0;0;0;3;2.4;1;1;0;1;
https://gaffos.com;authorized;1;27;6;3;0;0;0;1;3.7;1;1;1;0;
https://golfdirectnow.com;authorized;1;23;13;0;0;0;0;1;3.7;1;1;1;0;
https://hillcrestsports.com;authorized;1;8;15;2;0;0;0;2;-1.0;0;0;0;0;
https://icuracao.com;authorized;1;7;8;0;0;0;0;2;2.6;1;1;1;0;
https://lapolicegear.com;authorized;1;7;12;2;0;0;0;2;4.2;1;1;1;1;
https://movatik.com;authorized;1;29;7;3;0;0;0;1;4.9;1;1;1;0;
https://otticalipari.it;authorized;1;18;12;1;1;0;0;2;4.9;1;1;0;0;
https://park2peak.com;authorized;1;20;9;1;0;1;0;1;0.0;1;1;0;0;
https://safetygearpro.com;authorized;1;27;13;0;0;0;0;2;2.2;1;1;1;1;
https://www.academy.com;authorized;1;10;7;0;0;0;0;2;2.0;1;1;1;0;
https://www.aclens.com;authorized;1;8;6;0;0;0;0;2;3.1;1;1;1;0;
https://www.allureaid.com;authorized;1;28;9;2;0;0;0;1;3.2;1;1;1;0;
https://www.baseballexpress.com;authorized;1;6;15;0;0;0;0;2;4.0;1;1;1;0;
https://www.befitting.com;authorized;1;23;9;1;0;0;0;2;4.8;1;1;1;1;
https://www.belk.com;authorized;1;2;4;0;0;0;0;2;2.1;0;0;0;0;
https://www.bergdorfgoodman.com;authorized;1;14;15;4;0;0;0;2;1.6;1;1;1;0;
https://www.bergfreunde.eu;authorized;1;22;11;0;2;0;0;3;3.3;1;1;0;0;
https://www.bikebling.com;authorized;1;34;9;2;0;0;0;2;2.5;0;1;1;0;
https://www.biketiresdirect.com;authorized;1;11;15;0;0;0;0;2;4.9;1;1;0;0;
https://www.blauerboardshop.com;authorized;1;128;15;2;0;0;0;2;0.0;1;1;0;0;
https://www.bobwards.com;authorized;1;13;8;0;0;0;0;2;3.5;0;0;0;0;
https://www.brandscycle.com;authorized;1;26;11;3;0;0;0;2;3.7;1;1;1;1;
https://www.chaosfishing.com;authorized;1;6;12;1;0;0;0;2;-1.0;0;0;0;1;
https://www.cleanlinesurf.com;authorized;1;15;13;1;0;0;0;2;0.0;1;1;1;0;
https://www.coloradocyclist.com;authorized;1;7;15;0;0;0;0;2;2.9;1;1;1;0;
https://www.designereyes.com;authorized;1;29;12;6;0;0;0;1;3.9;1;1;0;0;
https://www.designerframesoutlet.com;authorized;1;11;20;1;0;0;0;2;4.2;0;1;0;0;
https://www.dresscodeclothing.com;authorized;1;4;17;0;0;0;0;2;2.9;1;1;1;0;
https://www.eclipseeyewear.com;authorized;1;21;14;1;0;0;0;1;0.0;1;1;0;1;
https://www.electronicexpress.com;authorized;1;5;17;0;0;0;0;2;4.5;1;1;1;1;
https://www.eriksbikeshop.com;authorized;1;16;13;1;0;0;0;2;2.7;0;0;0;0;
https://www.eurooptic.com;authorized;1;9;9;0;0;0;0;2;4.5;1;1;1;1;
https://www.evike.com;authorized;1;7;5;0;0;0;0;2;4.4;1;1;1;0;
https://www.evo.com;authorized;1;11;3;0;0;0;0;2;2.0;1;1;1;1;
https://www.eyebuydirect.com;authorized;1;24;12;0;0;0;0;2;4.4;1;1;1;0;
https://www.eyeglasses.com;authorized;1;9;10;0;0;0;0;2;4.1;1;1;1;1;
https://www.ezcontacts.com;authorized;1;18;10;0;0;0;0;2;4.1;1;1;0;1;
https://www.fairwaystyles.com;authorized;1;5;13;1;0;0;0;2;0.0;1;1;0;0;
https://www.fashioneyewear.com;authorized;1;23;14;2;0;0;0;1;4.3;0;0;0;0;
https://www.framesdirect.com;authorized;1;15;12;0;0;0;0;2;4.7;1;1;1;1;
https://www.galls.com;authorized;1;5;5;0;0;0;0;2;3.4;1;1;1;0;
https://www.glassesonweb.com;authorized;1;11;12;2;0;0;0;2;2.3;0;1;1;1;
https://www.glassesusa.com;authorized;1;16;10;0;0;0;0;4;4.5;1;1;1;1;
https://www.globalgolf.com;authorized;1;5;10;0;0;0;0;2;2.4;1;1;1;0;
https://www.goodsports.com;authorized;1;7;10;1;0;0;0;2;0.0;1;1;0;0;
https://www.hdosport.com;authorized;1;24;8;1;0;0;0;1;3.2;0;1;1;0;
https://www.joylot.com;authorized;1;6;6;0;0;0;0;2;3.7;0;1;1;0;
https://www.kohls.com;authorized;1;23;5;0;0;0;0;3;1.5;1;1;1;1;
https://www.lavishspecs.com;authorized;1;14;11;0;0;0;0;1;0.0;1;1;0;0;
https://www.otticanet.com;authorized;1;502;9;3;0;0;0;2;4.5;1;1;1;1;
https://www.outdoorequipped.com;authorized;1;23;15;3;0;0;0;1;3.5;1;1;1;1;
https://www.outlandusa.com;authorized;1;50;10;3;0;0;0;2;3.9;1;1;0;0;
https://www.paragonsports.com;authorized;1;16;13;1;0;0;0;2;0.0;0;0;0;0;
https://www.patriotoutfitters.com;authorized;1;5;17;0;0;0;0;2;0.0;0;0;0;0;
